ts,open,high,low,close,volume,amount
2026-09-01 09:31:00,9.13,9.14,9.11,9.14,1834100,16726151
2026-09-01 09:32:00,9.14,9.19,9.13,9.19,1866500,17109559
2026-09-01 09:33:00,9.18,9.19,9.18,9.18,1235900,11353071
2026-09-01 09:34:00,9.19,9.2,9.18,9.19,1265500,11629006
2026-09-01 09:35:00,9.19,9.2,9.19,9.2,1794500,16508276.34
2026-09-01 09:36:00,9.2,9.26,9.2,9.25,3092866,28566208.86
2026-09-01 09:37:00,9.25,9.26,9.24,9.24,1524200,14105118
2026-09-01 09:38:00,9.25,9.27,9.25,9.26,1977300,18304922
2026-09-01 09:39:00,9.26,9.27,9.26,9.26,2075900,19230236
2026-09-01 09:40:00,9.27,9.27,9.25,9.26,871700,8075892
2026-09-01 09:41:00,9.25,9.27,9.25,9.26,1804900,16725003
2026-09-01 09:42:00,9.26,9.28,9.26,9.26,1412600,13095045
2026-09-01 09:43:00,9.26,9.27,9.25,9.25,1034100,9576500
2026-09-01 09:44:00,9.25,9.27,9.25,9.26,958900,8875345
2026-09-01 09:45:00,9.26,9.26,9.25,9.25,345400,3196640
2026-09-01 09:46:00,9.25,9.26,9.24,9.25,731100,6763267
2026-09-01 09:47:00,9.25,9.26,9.25,9.26,837400,7746855
2026-09-01 09:48:00,9.26,9.27,9.26,9.26,627700,5813144
2026-09-01 09:49:00,9.26,9.27,9.26,9.26,675800,6263840
2026-09-01 09:50:00,9.26,9.27,9.25,9.25,531500,4923253
2026-09-01 09:51:00,9.25,9.27,9.25,9.26,485900,4500603
2026-09-01 09:52:00,9.26,9.27,9.26,9.27,341800,3165633
2026-09-01 09:53:00,9.27,9.27,9.26,9.26,507000,4696437
2026-09-01 09:54:00,9.26,9.27,9.26,9.26,746000,6911617
2026-09-01 09:55:00,9.26,9.27,9.26,9.26,345000,3195137.00000003
2026-09-01 09:56:00,9.26,9.27,9.25,9.27,419800,3888363
2026-09-01 09:57:00,9.26,9.26,9.25,9.25,676300,6258681
2026-09-01 09:58:00,9.25,9.27,9.25,9.27,1815500,16817687
2026-09-01 09:59:00,9.26,9.28,9.26,9.27,899100,8336825
2026-09-01 10:00:00,9.27,9.28,9.27,9.27,309100,2866143
2026-09-01 10:01:00,9.28,9.28,9.26,9.26,305500,2831837
2026-09-01 10:02:00,9.26,9.27,9.25,9.26,643600,5959900
2026-09-01 10:03:00,9.25,9.26,9.25,9.25,157600,1458117
2026-09-01 10:04:00,9.26,9.26,9.25,9.26,366700,3394211
2026-09-01 10:05:00,9.26,9.27,9.25,9.26,524300,4854852
